,area_type,availability,location,total_sqft,bath,balcony,price,bhk
2766,Super built-up  Area,1,5th Phase JP Nagar,1450.0,2.0,1.0,58.0,2
2767,Super built-up  Area,1,Singasandra,3366.0,4.0,2.0,120.0,4
2768,Built-up  Area,1,Sahakara Nagar,1150.0,2.0,1.0,54.0,2
2769,Super built-up  Area,1,Kanakpura Road,1843.0,3.0,2.0,95.84,3
2770,Plot  Area,1,Banashankari Stage VI,2200.0,4.0,2.0,195.0,4
2771,Built-up  Area,1,Bommanahalli,1090.0,3.0,2.0,44.0,2
2772,Super built-up  Area,1,Kaggadasapura,1132.0,2.0,2.0,42.0,2
2773,Super built-up  Area,1,Hulimavu,1375.0,2.0,2.0,80.0,2
2775,Super built-up  Area,1,Thanisandra,760.0,1.0,2.0,50.3,1
2776,Super built-up  Area,1,Kaggadasapura,1180.0,2.0,2.0,65.0,2
2777,Super built-up  Area,1,Jigani,918.0,2.0,2.0,45.0,2
2779,Built-up  Area,1,Margondanahalli,1200.0,1.0,0.0,53.0,2
2780,Super built-up  Area,1,HSR Layout,1372.0,2.0,1.0,61.0,2
2782,Super built-up  Area,1,Ardendale,1728.0,3.0,2.0,95.0,3
2784,Super built-up  Area,1,BTM 2nd Stage,1200.0,2.0,2.0,80.0,2
2785,Super built-up  Area,1,6th Phase JP Nagar,1280.0,2.0,2.0,56.0,2
2787,Super built-up  Area,1,other,1455.0,2.0,2.0,56.0,3
2788,Super built-up  Area,0,Rachenahalli,440.0,1.0,0.0,28.0,1
2789,Plot  Area,1,Kanakpura Road,1500.0,3.0,2.0,97.0,3
2790,Super built-up  Area,1,Whitefield,1800.0,3.0,2.0,110.0,3
2791,Super built-up  Area,1,Mysore Road,1525.0,3.0,2.0,96.0,3
2792,Super built-up  Area,1,Rachenahalli,1204.0,2.0,3.0,38.5,2
2793,Super built-up  Area,0,Old Madras Road,1225.0,2.0,1.0,53.55,2
2795,Super built-up  Area,1,Bannerghatta Road,1650.0,3.0,2.0,122.0,3
2797,Built-up  Area,1,other,4200.0,4.0,2.0,255.0,4
2798,Plot  Area,1,other,1200.0,2.0,0.0,55.0,2
2800,Super built-up  Area,1,9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2
2801,Super built-up  Area,0,Whitefield,1562.0,3.0,2.0,103.0,3
2804,Super built-up  Area,1,Ramamurthy Nagar,1200.0,2.0,3.0,42.0,2
2805,Super built-up  Area,1,Kasavanhalli,1555.0,3.0,2.0,82.5,3
2806,Plot  Area,1,KR Puram,1550.0,2.0,1.0,71.0,2
2807,Super built-up  Area,1,Whitefield,1190.0,2.0,2.0,67.0,2
2808,Built-up  Area,1,Chikkalasandra,1070.0,2.0,2.0,50.0,2
2810,Super built-up  Area,1,Jalahalli East,1020.0,2.0,1.0,42.48,2
2811,Super built-up  Area,1,Yelahanka,1610.0,3.0,1.0,115.0,3
2812,Super built-up  Area,1,other,700.0,1.0,1.0,41.0,1
2813,Super built-up  Area,1,other,1300.0,2.0,1.0,49.0,3
2814,Super built-up  Area,1,Hebbal,1420.0,2.0,1.0,123.0,2
2816,Carpet  Area,0,Hebbal,1069.0,3.0,2.0,65.4,3
2817,Super built-up  Area,1,Marathahalli,1900.0,3.0,3.0,123.0,3
2818,Super built-up  Area,0,Old Airport Road,1655.0,2.0,1.0,97.65,2
2819,Super built-up  Area,1,Uttarahalli,1155.0,2.0,2.0,40.42,2
2820,Built-up  Area,1,Sarjapur  Road,1300.0,2.0,2.0,70.0,3
2821,Super built-up  Area,1,Electronic City,1100.0,2.0,2.0,45.0,2
2822,Super built-up  Area,1,Doddathoguru,1030.0,2.0,2.0,42.0,2
2823,Super built-up  Area,1,Vittasandra,2105.0,2.0,1.0,70.2,2
2824,Built-up  Area,1,Bhoganhalli,1700.0,3.0,2.0,126.0,3
2825,Super built-up  Area,1,Jakkur,1760.0,3.0,2.0,139.0,3
2826,Built-up  Area,1,Kadugodi,6200.0,9.0,0.0,200.0,9
2827,Built-up  Area,1,other,1400.0,2.0,1.0,67.0,2
2828,Super built-up  Area,1,other,1200.0,2.0,0.0,53.0,2
2829,Built-up  Area,1,Bannerghatta Road,912.0,2.0,1.0,55.0,2
2830,Super built-up  Area,1,Whitefield,1102.0,2.0,1.0,48.0,2
2831,Super built-up  Area,1,other,1535.0,3.0,1.0,55.0,3
2832,Super built-up  Area,1,Haralur Road,1243.0,2.0,2.0,46.0,2
2833,Super built-up  Area,1,Jigani,918.0,2.0,2.0,63.2,2
2834,Super built-up  Area,1,Begur Road,1500.0,2.0,3.0,70.0,3
2835,Plot  Area,1,other,3000.0,3.0,0.0,250.0,3
2836,Super built-up  Area,1,Kasavanhalli,1476.0,3.0,0.0,89.0,3
2837,Super built-up  Area,0,Mysore Road,1200.0,2.0,3.0,65.0,2
2838,Super built-up  Area,0,Vijayanagar,606.0,1.0,0.0,34.78,1
2839,Super built-up  Area,1,other,1100.0,2.0,3.0,61.0,2
2840,Super built-up  Area,1,Garudachar Palya,1295.0,2.0,1.0,59.5,3
2841,Built-up  Area,1,Neeladri Nagar,527.0,1.0,0.0,26.0,1
2842,Super built-up  Area,1,OMBR Layout,1300.0,2.0,2.0,80.0,2
2845,Built-up  Area,1,Koramangala,1140.0,2.0,1.0,75.2,2
2847,Super built-up  Area,0,Whitefield,2321.0,4.0,1.0,128.0,3
2848,Super built-up  Area,1,Sarjapur  Road,1390.0,2.0,2.0,62.0,2
2849,Super built-up  Area,1,Sarjapur  Road,1725.0,3.0,3.0,90.0,3
2850,Super built-up  Area,0,Hebbal,3067.0,4.0,1.0,310.0,4
2851,Super built-up  Area,0,Hennur Road,1186.0,2.0,1.0,63.0,3
2852,Super built-up  Area,0,Kanakpura Road,1230.0,2.0,1.0,85.0,2
2853,Built-up  Area,1,other,600.0,1.0,1.0,17.0,1
2854,Super built-up  Area,0,Yeshwanthpur,1313.0,3.0,1.0,96.0,3
2855,Plot  Area,1,TC Palaya,900.0,2.0,0.0,55.0,2
2856,Super built-up  Area,1,Ambalipura,1250.0,2.0,2.0,66.25,2
2858,Super built-up  Area,0,Binny Pete,660.0,1.0,1.0,54.0,1
2859,Super built-up  Area,1,Basavangudi,1036.0,2.0,2.0,105.0,2
2861,Super built-up  Area,1,Old Madras Road,1100.0,2.0,1.0,70.0,2
2865,Built-up  Area,1,Electronics City Phase 1,1015.0,2.0,1.0,56.0,2
2866,Plot  Area,1,Gottigere,812.0,1.0,0.0,26.0,1
2867,Built-up  Area,1,other,1360.0,2.0,2.0,65.0,3
2868,Super built-up  Area,1,Nehru Nagar,2167.0,3.0,3.0,170.0,3
2869,Super built-up  Area,1,Raja Rajeshwari Nagar,1200.0,2.0,1.0,35.0,2
2870,Super built-up  Area,1,other,1165.0,2.0,2.0,75.0,2
2871,Super built-up  Area,1,BTM 2nd Stage,1274.0,2.0,2.0,70.0,2
2872,Super built-up  Area,1,Raja Rajeshwari Nagar,1151.0,2.0,2.0,39.02,2
2874,Super built-up  Area,1,Thubarahalli,1626.0,2.0,2.0,120.0,3
2875,Super built-up  Area,1,Banashankari Stage V,1035.0,2.0,2.0,35.77,2
2876,Plot  Area,1,other,1272.0,4.0,0.0,75.0,3
2877,Built-up  Area,1,other,965.0,2.0,1.0,45.0,2
2878,Plot  Area,1,other,1600.0,5.0,2.0,140.0,5
2879,Super built-up  Area,1,Kothannur,1070.0,2.0,1.0,42.79,2
2880,Built-up  Area,1,Raja Rajeshwari Nagar,1570.0,2.0,2.0,65.0,3
2882,Super built-up  Area,1,other,780.0,2.0,2.0,25.0,2
2883,Super built-up  Area,1,other,1000.0,2.0,1.0,65.0,3
2885,Built-up  Area,1,Tindlu,7500.0,7.0,2.0,400.0,7
2886,Built-up  Area,1,5th Phase JP Nagar,1700.0,2.0,3.0,100.0,3
2887,Super built-up  Area,1,Haralur Road,1850.0,3.0,2.0,110.0,3
2888,Built-up  Area,1,Kereguddadahalli,904.0,2.0,1.0,30.0,2
2889,Super built-up  Area,1,other,1121.0,2.0,1.0,43.72,2
2890,Super built-up  Area,1,7th Phase JP Nagar,1385.0,2.0,2.0,58.17,3
2891,Super built-up  Area,1,Sahakara Nagar,1270.0,2.0,1.0,69.85,2
2892,Super built-up  Area,1,Kanakpura Road,1450.0,3.0,3.0,56.0,3
2894,Super built-up  Area,1,Mahadevpura,730.0,1.0,1.0,35.0,1
2895,Super built-up  Area,1,Raja Rajeshwari Nagar,1580.0,3.0,3.0,53.56,3
2896,Super built-up  Area,1,Thanisandra,1111.0,2.0,1.0,50.0,2
2898,Super built-up  Area,1,Varthur,977.0,2.0,2.0,36.0,2
2899,Super built-up  Area,0,other,674.0,1.0,1.0,19.9,2
2901,Plot  Area,1,Sarjapur,2540.0,4.0,1.0,115.0,4
2902,Super built-up  Area,0,Jakkur,1290.0,2.0,1.0,100.0,2
2904,Super built-up  Area,1,Abbigere,795.0,2.0,1.0,32.54,2
2905,Super built-up  Area,0,Kanakpura Road,700.0,1.0,1.0,35.0,2
2906,Built-up  Area,1,other,1463.0,1.0,1.0,142.0,2
2908,Super built-up  Area,1,other,1306.0,2.0,2.0,58.0,3
2909,Super built-up  Area,1,other,2401.0,3.0,2.0,185.0,3
2910,Plot  Area,1,Bommenahalli,1670.0,3.0,0.0,135.0,4
2912,Plot  Area,1,Marsur,1200.0,3.0,1.0,90.0,3
2913,Super built-up  Area,1,Dodda Nekkundi,1804.0,3.0,2.0,121.0,3
2914,Super built-up  Area,1,1st Phase JP Nagar,2065.0,4.0,1.0,210.0,3
2915,Super built-up  Area,1,Hoskote,1225.0,3.0,1.0,40.0,3
2916,Super built-up  Area,0,Thanisandra,1185.5,2.0,0.0,58.68,2
2917,Super built-up  Area,1,Bellandur,900.0,2.0,2.0,56.0,2
2918,Super built-up  Area,0,Binny Pete,1350.0,2.0,1.0,91.0,2
2919,Super built-up  Area,1,Kaggalipura,700.0,1.0,0.0,36.0,1
2920,Super built-up  Area,0,Mysore Road,1005.0,2.0,0.0,35.175,2
2921,Super built-up  Area,1,Poorna Pragna Layout,1160.0,2.0,1.0,46.39,2
2922,Super built-up  Area,1,Hennur Road,1680.0,3.0,2.0,99.27,3
2923,Carpet  Area,1,LB Shastri Nagar,1043.0,2.0,2.0,55.0,2
2924,Plot  Area,1,Hoskote,1200.0,4.0,1.0,120.0,4
2925,Super built-up  Area,1,Hebbal,1040.0,2.0,2.0,46.0,2
2926,Super built-up  Area,1,Tindlu,1357.0,2.0,2.0,65.0,3
2928,Super built-up  Area,0,other,1225.0,2.0,2.0,47.0,2
2930,Super built-up  Area,1,Yelachenahalli,1130.0,2.0,2.0,40.0,2
2931,Built-up  Area,1,Basavangudi,2500.0,4.0,1.0,150.0,4
2932,Carpet  Area,1,Sultan Palaya,1700.0,3.0,3.0,120.0,3
2933,Super built-up  Area,1,Doddathoguru,1549.0,3.0,2.0,65.0,3
2934,Super built-up  Area,1,Yeshwanthpur,1400.0,2.0,2.0,100.0,2
2935,Super built-up  Area,1,Dodda Nekkundi,1080.0,2.0,2.0,50.0,2
2936,Built-up  Area,1,Ulsoor,1180.0,2.0,2.0,100.0,2
2938,Super built-up  Area,1,Domlur,1800.0,3.0,2.0,150.0,3
2939,Super built-up  Area,0,Haralur Road,1225.0,2.0,1.0,67.38,2
2940,Built-up  Area,1,other,890.0,1.0,1.0,75.0,1
2941,Super built-up  Area,1,Abbigere,1005.0,2.0,1.0,39.59,2
2942,Super built-up  Area,1,Whitefield,1320.0,2.0,1.0,95.0,2
2943,Built-up  Area,1,Anandapura,1475.0,2.0,1.0,50.0,4
2944,Super built-up  Area,0,Kudlu Gate,1707.0,2.0,2.0,99.745,3
2945,Super built-up  Area,1,other,1110.0,2.0,2.0,51.0,2
2946,Plot  Area,0,other,1300.0,2.0,0.0,54.0,2
2948,Super built-up  Area,0,Electronic City,1128.0,2.0,1.0,65.35,2
2949,Super built-up  Area,0,Jakkur,1452.19,2.0,1.0,100.0,2
2951,Super built-up  Area,0,Banashankari,2600.0,4.0,1.0,135.0,3
2953,Built-up  Area,1,Sanjay nagar,630.0,1.0,1.0,35.0,2
2954,Super built-up  Area,1,Hosa Road,1243.0,2.0,2.0,48.5,2
2955,Built-up  Area,1,other,960.0,2.0,2.0,32.0,2
2956,Super built-up  Area,1,other,1690.0,3.0,2.0,100.0,3
2957,Built-up  Area,1,Whitefield,735.0,2.0,1.0,35.0,2
2958,Super built-up  Area,1,Banaswadi,1365.0,2.0,2.0,73.0,2
2959,Super built-up  Area,1,Rajaji Nagar,2849.0,5.0,0.0,300.0,5
2960,Super built-up  Area,1,Hebbal,1420.0,2.0,1.0,99.39,2
2961,Super built-up  Area,1,Somasundara Palya,1570.0,3.0,3.0,68.0,3
2962,Super built-up  Area,1,Bisuvanahalli,850.0,1.0,1.0,32.0,2
2963,Super built-up  Area,1,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3
2964,Super built-up  Area,1,Thigalarapalya,1418.0,2.0,2.0,104.0,2
2965,Super built-up  Area,1,Uttarahalli,1050.0,2.0,1.0,42.0,2
2966,Super built-up  Area,1,Hennur Road,1065.0,2.0,1.0,42.6,2
2967,Built-up  Area,1,Ulsoor,1340.0,3.0,0.0,90.0,3
2968,Super built-up  Area,1,Yelahanka New Town,1610.0,3.0,2.0,92.0,3
2969,Built-up  Area,0,Electronic City Phase II,1160.0,2.0,1.0,33.5,2
2970,Super built-up  Area,1,Kudlu,1092.0,2.0,2.0,44.0,2
2971,Super built-up  Area,1,Parappana Agrahara,1194.0,2.0,2.0,47.0,2
2972,Super built-up  Area,1,Yelahanka,1455.0,3.0,1.0,61.5,3
2973,Super built-up  Area,0,Abbigere,734.0,1.0,0.0,19.82,1
2974,Built-up  Area,1,other,799.0,2.0,1.0,38.0,2
2975,Built-up  Area,1,Whitefield,1896.0,3.0,1.0,75.0,3
2976,Super built-up  Area,1,Ardendale,1100.0,2.0,1.0,48.0,2
2977,Built-up  Area,1,Bellandur,1350.0,2.0,1.0,79.0,2
2978,Super built-up  Area,1,other,1355.0,3.0,1.0,61.0,3
2979,Super built-up  Area,0,Electronic City,1128.0,2.0,1.0,65.0,2
2980,Plot  Area,1,other,1350.0,2.0,0.0,90.0,2
2982,Super built-up  Area,1,Kasavanhalli,1493.0,3.0,2.0,82.0,3
2983,Super built-up  Area,1,8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2
2984,Super built-up  Area,1,Banashankari,1900.0,2.0,1.0,170.0,3
2985,Super built-up  Area,1,other,1460.0,3.0,2.0,88.0,3
2987,Plot  Area,1,Horamavu Banaswadi,1600.0,5.0,3.0,140.0,5
2988,Super built-up  Area,1,Varthur,1091.0,2.0,1.0,32.0,2
2989,Super built-up  Area,1,Yelahanka,1180.0,2.0,3.0,42.0,2
2990,Super built-up  Area,0,Kanakpura Road,1366.0,3.0,1.0,76.85,2
2991,Super built-up  Area,1,other,1685.0,3.0,2.0,95.0,3
2992,Built-up  Area,1,Koramangala,1260.0,2.0,3.0,100.0,2
2993,Plot  Area,1,Whitefield,3010.0,3.0,2.0,200.0,3
2994,Plot  Area,1,Ramamurthy Nagar,1330.0,4.0,1.0,140.0,3
2995,Plot  Area,1,Mallasandra,1200.0,2.0,0.0,130.0,2
2996,Super built-up  Area,0,Whitefield,1346.0,2.0,1.0,96.17,2
2997,Super built-up  Area,0,Chandapura,630.0,1.0,0.0,13.86,1
2998,Super built-up  Area,0,Sarjapur  Road,1476.0,2.0,2.0,98.94,3
2999,Super built-up  Area,1,7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3
3001,Super built-up  Area,1,Electronic City,755.0,1.0,1.0,34.0,2
3003,Super built-up  Area,1,Parappana Agrahara,1194.0,2.0,2.0,46.0,2
3005,Super built-up  Area,0,Hebbal,4235.0,4.0,2.0,365.0,4
3006,Plot  Area,0,other,800.0,1.0,0.0,52.0,1
3007,Super built-up  Area,1,Rachenahalli,2250.0,3.0,1.0,195.0,3
3008,Super built-up  Area,1,Vijayanagar,1352.0,2.0,2.0,68.0,2
3009,Super built-up  Area,1,Thanisandra,2002.0,3.0,2.0,112.0,3
3010,Plot  Area,1,other,4000.0,5.0,1.0,280.0,4
3011,Built-up  Area,1,Kaval Byrasandra,1060.0,2.0,2.0,45.0,2
3012,Super built-up  Area,1,Kanakpura Road,1419.59,2.0,1.0,59.0,3
3013,Super built-up  Area,1,Raja Rajeshwari Nagar,1196.0,2.0,2.0,51.15,2
3014,Built-up  Area,0,Electronic City,1220.0,2.0,2.0,35.24,3
3015,Super built-up  Area,0,Electronics City Phase 1,1595.0,3.0,2.0,75.0,3
3016,Super built-up  Area,1,Banashankari,1260.0,2.0,3.0,75.0,2
3017,Super built-up  Area,1,Hebbal,1100.0,2.0,2.0,47.0,2
3018,Super built-up  Area,1,Frazer Town,1550.0,2.0,2.0,140.0,2
3019,Super built-up  Area,1,ISRO Layout,1180.0,2.0,3.0,52.0,2
3020,Plot  Area,0,Electronic City,4000.0,5.0,1.0,150.0,4
3021,Built-up  Area,1,Akshaya Nagar,1662.0,3.0,2.0,85.0,3
3022,Super built-up  Area,1,Hennur,1285.0,2.0,1.0,60.0,2
3024,Super built-up  Area,1,Ambedkar Nagar,1862.0,3.0,2.0,119.0,3
3025,Super built-up  Area,1,Raja Rajeshwari Nagar,1419.0,2.0,2.0,48.0,2
3026,Built-up  Area,0,Whitefield,1410.0,3.0,2.0,43.71,3
3027,Super built-up  Area,1,Raja Rajeshwari Nagar,1560.0,2.0,2.0,62.4,3
3029,Super built-up  Area,0,Thanisandra,1634.0,3.0,3.0,78.0,3
3031,Built-up  Area,1,Whitefield,1150.0,2.0,3.0,44.0,3
3032,Super built-up  Area,0,other,1100.0,2.0,2.0,53.0,2
3033,Super built-up  Area,0,Yelahanka,1616.0,3.0,1.0,65.0,3
3034,Super built-up  Area,0,Nagavarapalya,1392.0,2.0,1.0,99.0,2
3035,Super built-up  Area,0,Jakkur,1798.0,3.0,1.0,120.0,3
3036,Super built-up  Area,1,Babusapalaya,1675.0,3.0,3.0,75.0,3
3037,Plot  Area,1,other,792.0,2.0,1.0,70.0,2
3038,Super built-up  Area,1,other,2000.0,4.0,1.0,103.0,5
3040,Super built-up  Area,0,Hebbal,1700.0,3.0,2.0,124.0,3
3041,Super built-up  Area,1,Hulimavu,1248.0,2.0,1.0,69.0,2
3042,Built-up  Area,1,other,1147.0,2.0,1.0,54.0,2
3043,Super built-up  Area,1,Sultan Palaya,1100.0,2.0,2.0,40.0,2
3044,Super built-up  Area,1,Vijayanagar,1527.0,3.0,2.0,115.0,3
3045,Plot  Area,1,other,2400.0,5.0,2.0,235.0,5
3046,Super built-up  Area,0,Kanakpura Road,525.0,1.0,1.0,25.0,1
3047,Super built-up  Area,1,Kaggadasapura,1100.0,2.0,3.0,58.0,2
3048,Super built-up  Area,0,Seegehalli,1118.0,2.0,2.0,37.5,2
3049,Super built-up  Area,0,Kanakapura,1476.0,3.0,1.0,75.0,3
3050,Built-up  Area,1,other,2100.0,3.0,1.0,75.0,3
3051,Super built-up  Area,0,other,1215.0,2.0,2.0,46.5,3
3052,Super built-up  Area,1,Ambalipura,1332.0,2.0,1.0,79.0,2
3053,Super built-up  Area,1,Hennur Road,1350.0,2.0,3.0,49.0,2
3055,Super built-up  Area,1,Haralur Road,1243.0,2.0,2.0,46.0,2
3056,Super built-up  Area,1,NGR Layout,1105.0,2.0,2.0,49.73,2
3058,Super built-up  Area,1,Kasavanhalli,1200.0,2.0,2.0,50.0,2
3059,Super built-up  Area,0,Ramagondanahalli,1251.0,2.0,1.0,47.4,2
3060,Super built-up  Area,1,Kambipura,883.0,2.0,1.0,45.0,2
3061,Super built-up  Area,1,Pai Layout,1400.0,2.0,3.0,67.0,3
3063,Super built-up  Area,1,Hegde Nagar,1703.0,3.0,2.0,113.0,3
3064,Super built-up  Area,1,NRI Layout,2500.0,5.0,3.0,130.0,5
3065,Super built-up  Area,1,Varthur,1250.0,3.0,2.0,71.0,3
3066,Super built-up  Area,1,Jigani,933.0,2.0,2.0,43.0,2
3067,Plot  Area,1,other,461.82,1.0,1.0,31.7,1
3068,Super built-up  Area,1,Brookefield,1262.0,2.0,1.0,75.0,2
3069,Super built-up  Area,1,Yelahanka,915.0,2.0,2.0,48.0,2
3070,Super built-up  Area,1,Panathur,1370.0,2.0,2.0,61.5,3
3071,Super built-up  Area,1,Malleshpalya,1210.0,2.0,3.0,55.0,2
3073,Plot  Area,0,other,1500.0,2.0,0.0,85.0,3
3074,Super built-up  Area,1,other,1065.0,2.0,3.0,50.0,2
3076,Super built-up  Area,1,Ramamurthy Nagar,1515.0,3.0,3.0,65.0,3
3077,Plot  Area,0,Sarjapura - Attibele Road,1800.0,4.0,2.0,110.0,4
3078,Super built-up  Area,1,Thanisandra,1445.0,2.0,3.0,40.31,3
3079,Super built-up  Area,1,Uttarahalli,1300.0,2.0,1.0,55.0,3
3080,Built-up  Area,1,Vijayanagar,989.0,2.0,0.0,60.0,2
3081,Super built-up  Area,1,Jakkur,1300.0,2.0,1.0,85.0,2
3082,Super built-up  Area,0,Chandapura,1185.0,2.0,2.0,30.22,3
3084,Super built-up  Area,1,Marathahalli,1045.0,2.0,3.0,60.0,2
3085,Super built-up  Area,0,other,1205.0,2.0,2.0,42.18,2
3086,Super built-up  Area,1,other,1260.0,2.0,1.0,75.0,2
3088,Super built-up  Area,1,Ulsoor,1500.0,2.0,2.0,125.0,3
3089,Super built-up  Area,0,Bommanahalli,1250.0,2.0,2.0,42.5,3
3090,Built-up  Area,0,other,1199.0,2.0,2.0,50.0,2
3091,Super built-up  Area,1,Hennur Road,1385.0,2.0,1.0,83.09,2
3093,Super built-up  Area,1,Lakshminarayana Pura,1149.0,2.0,1.0,75.0,2
3094,Super built-up  Area,1,Sarjapur  Road,2180.0,3.0,2.0,170.0,3
3096,Super built-up  Area,1,other,12000.0,12.0,2.0,525.0,10
3098,Super built-up  Area,1,Hulimavu,1818.0,3.0,1.0,135.0,3
3099,Super built-up  Area,1,other,1070.0,2.0,2.0,33.0,2
3101,Built-up  Area,1,Nagarbhavi,1350.0,2.0,2.0,54.6,3
3102,Built-up  Area,1,Chandapura,630.0,1.0,1.0,27.0,2
3103,Super built-up  Area,0,Hoodi,1430.0,2.0,2.0,113.0,2
3104,Super built-up  Area,1,Nagavara,2430.0,4.0,3.0,180.0,3
3106,Super built-up  Area,1,Sarjapur  Road,1084.0,2.0,3.0,55.0,2
3107,Super built-up  Area,1,Hennur Road,1186.0,2.0,1.0,56.0,3
3108,Built-up  Area,1,Kengeri,1255.0,2.0,2.0,50.0,2
3109,Super built-up  Area,1,Haralur Road,3400.0,5.0,3.0,240.0,4
3110,Super built-up  Area,0,Hosa Road,1541.0,3.0,1.0,69.84,3
3111,Super built-up  Area,1,Iblur Village,3596.0,5.0,1.0,282.0,4
3112,Super built-up  Area,1,Raja Rajeshwari Nagar,1295.0,2.0,2.0,70.0,2
3114,Built-up  Area,1,other,2820.0,3.0,2.0,285.0,3
3115,Super built-up  Area,1,7th Phase JP Nagar,1370.0,2.0,2.0,54.79,3
3116,Super built-up  Area,1,Electronic City,1100.0,2.0,1.0,40.0,2
3117,Super built-up  Area,0,Hebbal,4772.0,6.0,2.0,510.0,4
3119,Super built-up  Area,1,7th Phase JP Nagar,1370.0,2.0,1.0,54.79,3
3120,Super built-up  Area,1,JP Nagar,1200.0,2.0,2.0,62.0,2
3121,Plot  Area,1,Gunjur,2000.0,3.0,0.0,95.0,4
3122,Built-up  Area,1,9th Phase JP Nagar,3500.0,4.0,2.0,300.0,4
3124,Plot  Area,1,Kengeri,2400.0,5.0,2.0,253.0,4
3125,Super built-up  Area,1,Sarjapur  Road,1220.0,3.0,2.0,62.0,3
3126,Built-up  Area,1,other,1950.0,3.0,2.0,130.0,3
3127,Super built-up  Area,1,Somasundara Palya,1178.0,2.0,3.0,73.0,2
3128,Super built-up  Area,1,Dasanapura,1286.0,3.0,2.0,61.44,3
3129,Super built-up  Area,1,Begur Road,1160.0,2.0,2.0,42.0,2
3130,Super built-up  Area,1,Jigani,918.0,2.0,2.0,55.0,2
3131,Super built-up  Area,0,Electronic City,1563.0,3.0,2.0,91.84,3
3132,Super built-up  Area,0,other,1326.0,2.0,1.0,62.17,2
3133,Super built-up  Area,1,other,1350.0,2.0,2.0,140.0,3
3134,Super built-up  Area,0,Hebbal,3960.0,5.0,3.0,386.0,4
3135,Super built-up  Area,1,Begur Road,1240.0,2.0,2.0,39.06,2
3136,Super built-up  Area,1,Kaggadasapura,1325.0,2.0,2.0,50.0,2
3137,Super built-up  Area,1,Sonnenahalli,1100.0,2.0,1.0,44.0,2
3139,Super built-up  Area,1,Gollarapalya Hosahalli,1605.0,3.0,2.0,50.0,3
3140,Super built-up  Area,1,Hennur Road,5600.0,5.0,3.0,515.0,5
3141,Super built-up  Area,1,Somasundara Palya,1260.0,2.0,1.0,60.0,2
3142,Super built-up  Area,0,Hoodi,1553.0,3.0,2.0,83.09,3
3143,Super built-up  Area,1,Whitefield,1280.0,2.0,2.0,52.0,2
3144,Super built-up  Area,1,Hebbal,1550.0,2.0,2.0,75.0,3
3145,Super built-up  Area,1,Arekere,1445.0,2.0,2.0,125.0,3
3146,Super built-up  Area,1,Murugeshpalya,1550.0,3.0,2.0,74.0,3
3147,Super built-up  Area,1,Electronics City Phase 1,1515.0,2.0,1.0,80.91,3
3148,Super built-up  Area,0,Hosa Road,1332.0,2.0,1.0,86.12,3
3149,Super built-up  Area,1,Electronic City,1652.0,3.0,2.0,70.0,3
3150,Super built-up  Area,1,Hegde Nagar,1570.0,3.0,1.0,105.0,3
3152,Super built-up  Area,1,Sector 2 HSR Layout,794.0,1.0,1.0,60.0,1
3153,Plot  Area,1,Seegehalli,1200.0,2.0,0.0,62.0,3
3158,Super built-up  Area,1,HRBR Layout,2800.0,3.0,2.0,250.0,3
3159,Super built-up  Area,1,Sarjapur  Road,1750.0,3.0,2.0,110.0,3
3160,Built-up  Area,1,Hebbal,1053.0,2.0,1.0,48.0,2
3161,Super built-up  Area,0,Kanakpura Road,1100.0,3.0,2.0,53.0,3
3162,Super built-up  Area,1,Kadubeesanahalli,1665.0,3.0,3.0,70.0,3
3163,Plot  Area,1,other,4051.0,4.0,3.0,345.0,4
3165,Built-up  Area,1,Bommasandra,1447.0,3.0,2.0,80.0,3
3166,Built-up  Area,1,Balagere,1012.0,2.0,1.0,75.0,2
3167,Super built-up  Area,1,Malleshpalya,1900.0,3.0,2.0,60.0,3
3168,Super built-up  Area,1,Narayanapura,1308.0,2.0,2.0,92.66,2
3169,Super built-up  Area,1,Green Glen Layout,3250.0,4.0,2.0,230.0,4
3171,Super built-up  Area,1,Electronic City,1000.0,2.0,2.0,22.0,2
3173,Super built-up  Area,0,Gunjur,1140.0,2.0,2.0,49.11,2
3174,Super built-up  Area,0,Jakkur,3181.0,4.0,0.0,260.5,4
3175,Built-up  Area,1,Uttarahalli,1250.0,2.0,1.0,55.0,3
3176,Super built-up  Area,1,Kanakapura,1290.0,3.0,3.0,45.15,3
3177,Super built-up  Area,1,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2
3178,Super built-up  Area,1,Garudachar Palya,1320.0,2.0,2.0,60.6,3
3179,Built-up  Area,1,Akshaya Nagar,1662.0,3.0,2.0,85.5,3
3181,Super built-up  Area,1,Begur Road,1200.0,2.0,2.0,45.0,2
3182,Built-up  Area,1,Koramangala,1975.0,3.0,2.0,210.0,3
3183,Super built-up  Area,1,Garudachar Palya,1295.0,2.0,2.0,59.5,3
3184,Super built-up  Area,1,Battarahalli,1777.0,3.0,2.0,100.0,3
3185,Super built-up  Area,0,Kadugodi,1900.0,3.0,2.0,108.0,3
3186,Super built-up  Area,0,Anandapura,1576.0,3.0,2.0,59.1,3
